id,nombre_iniciativa,descripcion,principio_GA,link,fecha_lanzamiento,ambito,representacion,organismo,intitucion_principal,provincia,localidad,domicilio,correo_electronico,telefono
11,Portal de Gestión Abierta,"Herramienta de rendición de cuentas y transparencia activa que da cuenta de las acciones de gobierno, sus ejes estratégicos, y grupos de interés. También se encuentran transparentadas bases de datos que alimentan la información de gestión publicada en la misma página.",Rendición de cuentas,https://gestionabierta.cba.gov.ar/,04/12/2018,Gubernamental,Ejecutivo Provincial,Dirección de Articulación y Asuntos Institucionales,Ministerio de Coordinación,Córdoba,,Rosario de Santa Fe 650 - B°Centro - Córdoba Capital,nperezaguila@cordoba.gov.ar,
12,Portal Gobierno Abierto,El sitio temático de Gobierno Abierto que busca generar participación ciudadana asegurando el acceso ágil a la información pública. Mediante el mismo se pretende garantizar transparencia en la gestión y en la administración municipal a través de la apertura de datos. En el sitio se encuentra información sobre: Declaraciones Juradas de Funcionarios y Funcionarias Municipales; Licitaciones Públicas; Convocatorias para la Selección de Personal Municipal; Ordenanzas y Decretos; Presupuesto; Composición de gastos y recursos; Informes de Auditoría; Informes de Evaluaciones; Relevamientos y Datos de la ciudad; etc.,Transparencia,https://www.rafaela.gob.ar/gobiernoabierto/GobiernoAbierto.aspx,01/01/2016,Gubernamental,Ejecutivo Municipal,"Secretaría de Auditoría, Evaluación y Transparencia",Municipalidad,Santa Fe,Rafaela,Moreno 8 - Rafaela - Santa Fe,evalua@rafaela.gob.ar,
13,Comisiones de monitoreo de obra pública,"Se implementan en la ciudad Comisiones de Monitoreo para Obras Públicas, específicamente para obras de desagües cloacales. Las comisiones están conformadas por las secretarías municipales (Hacienda y Finanzas; Gobierno y Participación; Obras y Servicios Públicos; Auditoría, Evaluación y Finanzas) y empresas provinciales.",Transparencia,http://evalua.rafaela.gob.ar/,01/01/2018,Gubernamental,Ejecutivo Municipal,"Secretaría de Auditoría, Evaluación y Transparencia",Municipalidad,Santa Fe,Rafaela,Moreno 8 3er Piso- Rafaela - Santa Fe,evalua@rafaela.gob.ar,
14,Compromisos de la Ciudad,"Los Compromisos son parte del modelo de gestión de la Ciudad de Buenos Aires desde 2016 y son una nueva forma de gobernar y vincularse con la ciudadaní?a. Estos son objetivos específicos, medibles y con plazos de cumplimiento sobre los que se rinde cuentas de manera permanente.",Rendición de cuentas,https://www.buenosaires.gob.ar/compromisos,23/02/2016,Gubernamental,Ejecutivo Municipal,Subsecretaría de Gobierno Abierto y Rendición de Cuentas,Secretaría General y Relaciones Internacionales,Ciudad Autónoma de Buenos Aires,,"Uspallata 3160, 3° piso, CABA",gobiernoabierto@buenosaires.gob.ar,
15,BA Obras,"El portal pone a disposición de la ciudadanía toda la información sobre las obras públicas que están transformando los 48 barrios de la Ciudad de Buenos Aires. Incluye información sobre las obras destacadas del plan de obra pública, las ya realizadas y las que están planificadas.",Transparencia,https://obras.buenosaires.gob.ar/,02/11/2017,Gubernamental,Ejecutivo Municipal,Subsecretaría de Gobierno Abierto y Rendición de Cuentas,Secretaría General y Relaciones Internacionales,Ciudad Autónoma de Buenos Aires,,"Uspallata 3160, 3° piso, CABA",gobiernoabierto@buenosaires.gob.ar,
16,BA Cambio Climático,"La plataforma reúne todas las políticas de eficiencia energética, movilidad sustentable y gestión de residuos de la Ciudad de Buenos Aires. Además, es posible acceder al Plan de Acción Climática, que busca hacer de ésta una ciudad resiliente, carbono neutral e inclusiva.",Transparencia,https://www.buenosaires.gob.ar/cambioclimatico,11/11/2020,Gubernamental,Ejecutivo Municipal,Subsecretaría de Gobierno Abierto y Rendición de Cuentas,Secretaría General y Relaciones Internacionales,Ciudad Autónoma de Buenos Aires,,"Uspallata 3160, 3° piso, CABA",gobiernoabierto@buenosaires.gob.ar,
17,Portal de Transparencia de Gobierno,"La finalidad de este portal es adecuar la información pública a Datos Abiertos según lo establece la ley Nacional Nº 27275, para que los vecinos y vecinas puedan evaluar los actos de gobierno de manera transparente y con libre acceso. Entre ellos está, digesto digital, que ordena y pública en un mismo lugar las normativas que rigen la actividad dentro del ámbito municipal de forma ágil, intuitiva y a disposición de la población, con métodos de amplio alcance. Mediante dicho portal, la municipalidad publicará información general para conocimiento público, como escalas salariales, ejecuciones presupuestarias, licitaciones y concursos, entre otros.",Transparencia,https://corraldebustos.gob.ar/transparencia/,23/11/2021,Gubernamental,Ejecutivo Municipal,Modernización,"Secretaría de Economia, Hacienda y Finanzas",Córdoba,Corral de Bustos Ifflinger,Pje. Int. Dr. Juan Pérez Crespo 127 (X2645CMA)Departamento Marcos Juárez. Provincia de Córdoba.,prensa@corraldebustos.gov.ar,3468531004
18,Presupuesto Participativo Municipal,"Proponemos la creación de una plataforma en donde los vecinos y vecinas puedan cargar proyectos y propuestas para ser llevados a cabo en la localidad. Esta plataforma servirá para implementar un presupuesto participativo, en donde cualquier persona con domicilio en Corral de Bustos Ifflinger pueda presentar propuestas para mejorar la vida de los ciudadanos, ya sea interviniendo el espacio público, haciendo propuestas de creación de valor, protección ambiental, desarrollo social, etc. Las propuestas serán revisadas técnicamente por un panel de expertos para determinar su viabilidad fáctica y presupuestaria; y finalmente serán los mismos vecinos y vecinas de la localidad quienes voten cuáles proyectos se lleven a cabo.",Participación,https://presupuestoparticipativo.unc.edu.ar/municipio/corraldebustos2022,28/03/2022,Gubernamental,Ejecutivo Municipal,Modernización,"Secretaría de Economia, Hacienda y Finanzas",Córdoba,Corral de Bustos Ifflinger,Pje. Int. Dr. Juan Pérez Crespo 127 (X2645CMA)Departamento Marcos Juárez. Provincia de Córdoba.,prensa@corraldebustos.gov.ar,3468531004
19,Portal de Datos,Ponemos a tu alcance datos públicos en formatos abiertos para que puedas visualizar y compartir la transparencia y el acceso a la información pública de la ciudad y promover instancias de co-creación a los principios de participación y colaboración ciudadana.,Datos,https://perez.opendata.junar.com/home,11/12/2021,Gubernamental,Ejecutivo Municipal,Dirección de Desarrollo Social,Intendencia municipal,Santa Fe,Pérez,"Av. Sarmiento 1198, Perez, Santa Fe",gusorrego@gmail.com,3416632032
20,Acceso a la información pública y transparencia activa,"El municipio de Pergamino comienza su plan de Apertura de Datos Públicos mediante el diseño de un catálogo de datos abiertos. En setiembre de 2018 mediante la ordenanza https://www.pergamino.gob.ar/programas/boletin/1734.pdf regula el Acceso a la Información Pública. En 2019, 2020 y 2021 participa del índice de Datos Abiertos de Ciudades Abiertas Argentinas obteniendo el puesto 6 en 2021 con el 85% de apertura https://2021.indicedatosabiertos.org/ Esta plataforma esta implementada por el Municipio y desarrollada por Andino con CKAN. Todos los datasets están en nivel de tres estrellas: abiertos, estructurados, y no propietarios. Es desde este nivel que los datos abiertos se encuentran en formato CSV y permiten consolidar su potencial para que su reutilización sea fácil, productiva, y genere impacto. En el proyecto NADA PARA NOSOTROS SIN NOSOTROS implementaremos cuatro estrellas para el dataset que contendrá los datos de los tipos de accesibilidad de los espacios públicos como forma de garantizar que una persona con discapacidad conozca el medio de apoyo que tiene el edificio antes de salir de su casa.",Datos,http://datosabiertos.pergamino.gob.ar/,07/09/2017,Gubernamental,Ejecutivo Municipal,Gobierno Abierto,"Secretaria de Modernización, Innovación y Tecnologías",Buenos Aires,Pergamino,"Florida 629, Pergamino, Provincia de Buenos Aires , B2700DFO",silvana.pirchi@pergamino.gob.ar,5492477674673
21,Mapa de accesos wifi,Inclusión digital de la ciudadanía a través de accesos wifi. Incorpora la transparencia visibilizando las distintas redes pertenecientes a organismos públicos y empresa estatal,Transparencia,https://www.google.com/maps/d/u/0/viewer?mid=1iymv7sWV-tPLSG7Yrma6eEImTmHxUIj-&ll=-37.02544243708141%2C-65.86841759448605&z=6,30/10/2021,Gubernamental,Ejecutivo Provincial,Laboratorio de Innovación Pública,Ministerio de Conectividad y Modernización,La Pampa,,"Centro Cívico 2º Piso ala Oeste (Av. Luro y Av. San Martín, L6300 Santa Rosa, La Pampa",labip@lapampa.gob.ar,2954397036
22,Mapa de Obras públicas,Informar de manera accesible el avance de la obra pública provincial y su georreferenciación. Incorpora la transparencia visibilizando las distintas obras realizadas por el Gobierno de La Pampa.,Transparencia,https://obras.lapampa.gob.ar/,09/11/2021,Gubernamental,Ejecutivo Provincial,Laboratorio de Innovación Pública,Ministerio de Conectividad y Modernización,La Pampa,,"Centro Cívico 2º Piso ala Oeste (Av. Luro y Av. San Martín, L6300 Santa Rosa, La Pampa",labip@lapampa.gob.ar,2954397036
23,Compromisos de Gestión,"Los Compromisos de Gestión son los objetivos estratégicos del plan de gobierno para la transformación de Quilmes. Se trata de proyectos que involucran tanto obras de infraestructura como políticas de seguridad, políticas sociales, de géneros, y de modernización y transparencia del Estado.Cada compromiso responde al diseño de metas claras, medibles y comprobables, y su estado de avance es público con el propósito de que sean los vecinos y vecinas quienes puedan auditar el seguimiento y cumplimiento de los mismos.Los compromisos nacieron cuando asumimos la gestión en 2019, y este año 2022 sumamos 8 nuevos proyectos a esta iniciativa. Actualmente, contamos con un total de 30 compromisos.",Rendición de cuentas,https://www.quilmes.gov.ar/compromisos,10/12/2019,Gubernamental,Ejecutivo Municipal,Jefatura de Gabinete,Quilmes,Buenos Aires,Quilmes,"Alberdi 500, Quilmes Centro.",jefatura@quilmes.gov.ar,43503000
24,Portal de Obras,"Con el fin de promover una política de transparencia, desde el municipio de Quilmes diseñamos el portal de obras para que los vecinos y vecinas puedan conocer la ubicación y fiscalizar el avance de todas las obras llevadas a cabo por la gestión municipal.El Portal de Obras muestra un mapa interactivo con información georreferenciada y el detalle de las obras según estén finalizadas, en estado de proyecto o en ejecución.",Transparencia,https://quilmes.gov.ar/institucional/Mapa_obras,04/01/2021,Gubernamental,Ejecutivo Municipal,Jefatura de Gabinete,Quilmes,Buenos Aires,Quilmes,"Alberdi 500, Quilmes Centro.",jefatura@quilmes.gov.ar,43503000
25,Portal de Datos,"En el marco de las iniciativas de promoción de apertura de datos como política fundamental de impulso hacia una gestión transparente y participativa, el municipio de Quilmes cuenta con un Portal de Datos que pone a disposición de los vecinos y vecinas información pública clave.Para mayor accesibilidad y utilidad de los datos públicos, el portal permite la visualización y descarga de la información en diversos formatos, en su mayoría abiertos, para que puedan ser usados, modificados y compartidos en función de los objetivos de quienes acceden a ellos.",Datos,http://datos.quilmes.gov.ar/,01/12/2020,Gubernamental,Ejecutivo Municipal,Jefatura de Gabinete,Quilmes,Buenos Aires,Quilmes,"Alberdi 500, Quilmes Centro.",jefatura@quilmes.gov.ar,43503000
26,Portal de Datos Abiertos,"El proyecto tiene como objetivo general promover la transparencia, la rendición de cuentas en la gestión municipal y la participación ciudadana, así como también la disponibilización de datos sobre la ciudad que permitan la co-creación de soluciones inteligentes de base tecnológica.",Datos,https://datos.ciudaddecorrientes.gov.ar/,01/07/2020,Gubernamental,Ejecutivo Municipal,Dirección General de Innovación Pública y Gobierno Abierto,"Subsecretaría de Modernización, Innovación y Tecnología",Corrientes,Corrientes,"25 de Mayo 1132, W3400 BCN, Corrientes",dginnovacionygobiernoabierto@ciudaddecorrientes.gov.ar,
27,Apertura de Datos del Gobierno de Mendoza,"Mendoza adopta al derecho de acceso a la información como una política pública que contribuye a la transparencia de la gestión pública, fortalece la confianza entre los ciudadanos y el Estado, facilita los controles del obrar público y estimula la eficiencia y la efectividad de las administraciones. La disponibilidad de los datos públicos en condiciones adecuadas para su uso y reutilización constituye un elemento catalizador a fin de crear condiciones efectivas para lograr un mayor fortalecimiento del proceso democrático y un cambio en la cultura organizacional orientada a la apertura. La iniciativa apunta a la apertura de datos de todos los Ministerios, Secretarías del Poder Ejecutivo Provincial y Entes Descentralizados, invitando a sumarse a los Municipios; empresas y sociedades del Estado o con participación estatal mayoritaria y aquellos entes en los que la Provincia se encuentre asociada a una o varias provincias y/o municipalidades.",Datos,http://datosabiertos.mendoza.gov.ar/,29/03/2017,Gubernamental,Ejecutivo Provincial,Dirección de Políticas Públicas e Innovación,Subsecretaría de Gestión Publica y Modernización del Estado,Mendoza,,"Av. Peltier 351, Mendoza",politicaspublicas@mendoza.gov.ar,542613852158
28,Centro de Información y Estudios Económicos de la Provincia de Buenos Aires,"El Centro de Información y Estudios Económicos busca facilitar el acceso a diversos datos económicos de la Provincia de Buenos Aires producidos por el Ministerio de Hacienda y Finanzas y otros organismos públicos, para contribuir a su análisis a partir de la visualización y descarga en formato abierto. Ofrece además la publicación de los estudios económicos producidos por el Ministerio en la actualidad y a lo largo de su historia, así como también un conjunto de herramientas que facilitan el análisis de la situación económica bonaerense.",Transparencia,https://estudioseconomicos.ec.gba.gov.ar/,01/10/2021,Gubernamental,Ejecutivo Provincial,Dirección Provincial de Estudios y Análisis Económicos,Ministerio de Hacienda y Finanzas,Buenos Aires,,"https://www.google.com/maps/place/Ministerio+de+Hacienda+y+Finanzas/@-34.912191,-57.9538887,15z/data=!4m6!3m5!1s0x95a2e6365c052845:0x293ba721910fb262!8m2!3d-34.912191!4d-57.9538887!16s%2Fg%2F1hf84zh6h?entry=ttu",gbeyrne@ec.gba.gov.ar,02214294487
29,Portal Gobierno Abierto,"La información pública disponible en formato digital del Gobierno de Entre Ríos está centralizada en el portal de Gobierno Abierto. Desde 2020 la Secretaría de Modernización se encuentra trabajando en el desarrollo de una plataforma de Datos Abiertos. Los datos abiertos son aquellos a los que cualquier persona puede acceder, usar y compartir libremente. Sólo deben atribuirse y compartirse con la misma licencia con la que fueron publicados.",Transparencia,https://www.entrerios.gov.ar/gobiernoabierto/index.php,06/02/2017,Gubernamental,Ejecutivo Provincial,Subsecretaría de Planificación y Gestión Pública,Secretaría de Modernización,Entre Ríos,,"San Martín 655 , Entre Ríos",dlaurens@entrerios.gov.ar,03434840438
30,Infraestructura de Datos Espaciales,"El geoportal de Entre Ríos reúne toda la información geoespacial elaborada por las diferentes áreas gubernamentales. Actualmente se encuentran publicadas 17 capas de información pertenecientes a la Dirección General de Estadística y Censos, Dirección General de Hidráulica, Dirección de Epidemiología, Dirección de Economía e Información Agroalimentaria, Facultad de Ciencia y Tecnología (UADER) y del Centro Regional de Geomática. También mapas temáticos referentes al Programa provincial de Educación Ambiental, mapas con información referente al Sistema Estadístico Provincial, el Mapa de Suelos y Ambientes de Entre Ríos (2008) y el Mapa Geológico de la provincia.",Transparencia,https://www.entrerios.gov.ar/ideer/,14/05/2019,Gubernamental,Ejecutivo Provincial,Subsecretaría de Planificación y Gestión Pública,Secretaría de Modernización,Entre Ríos,,"San Martín 655 , Entre Ríos",dlaurens@entrerios.gov.ar,03434840438
31,Portal Nacional de Datos Públicos del Ministerio de Salud de la Nación,"Desde la Dirección de Estadística e Información en Salud (DEIS) articulamos con las distintas áreas técnicas y Direcciones del Ministerio de Salud de la Nación acompañando y capacitando a quienes lo requieran, sobre la puesta en marcha y el trabajo conjunto desde la necesidad que tenga las mismas para visibilizar y disponer sus datos para la comunidad, cooperando en el asesoramiento continuo, comunicación, disposición de la información e interoperabilidad de los distintos datasets, asegurando la protección de datos personales y estructura de datos, con una asistencia y coordinación permanente desde la DEIS siguiendo las sugerencias y recomen",Datos,http://datos.salud.gob.ar/,01/11/2017,Gubernamental,Ejecutivo Nacional,Dirección de Estadística e Información en Salud - Coordinación de Datos Abiertos,Ministerio de Salud,,,"Avenida 9 de Julio 1925, CABA",Informaciondeis@gmail.com,43799024
32,Portal de Datos Abiertos de la Justicia Argentina,"Primera plataforma de datos abiertos del sector justicia de Argentina. Publica conjuntos de datos en formato abierto sobre actividades del Ministerio de Justicia y Derechos Humanos de la Nación (relativas a cuestiones tales como acceso a la justicia, sistema registral y derechos humanos, entre otras), datos de instituciones de justicia a nivel federal y nacional (estructura, nómina de jueces, juezas, fiscales y defensores/as, estado de cobertura de cargos y de concursos, subrogancias, vacancias y estado de tramitación de los concursos en el ámbito del Consejo de la Magistratura y de los ministerios públicos, información estadística sobre género de magistrados/as designados/as) y de instituciones de justicia provinciales (casos en materia penal y civil, incluyendo delitos, actos y tiempos procesales). La publicación de datos en formato. CSV se acompaña de visualizaciones basadas en los datos publicados.",Datos,http://datos.jus.gob.ar/ ,23/03/2016,Gubernamental,Ejecutivo Nacional,Dirección Nacional de Política Criminal en materia de Justicia y Legislación Penal,Ministerio de Justicia y Derechos Humanos,,,"Sarmiento 329, C1041AAE CABA",HOlaeta@jus.gob.ar,53004000
33,Plataforma de Datos sobre Política Criminal,"Plataforma pública y de libre acceso a datos estadísticos sobre política criminal que incluye las bases del Sistema Nacional de Estadísticas sobre Ejecución de la Pena (SNEEP) y del Sistema Nacional de Estadísticas Judiciales (SNEJ), informes sobre estudios específicos que realiza la DNPC referidos a distintos temas (por ejemplo: sobre Ley N° 23.737; desfederalización en materia de estupefacientes; violencia contra las mujeres, relevamiento de personas detenidas con prisión domiciliaria y vigilancia electrónica; contrabando de estupefacientes y vulnerabilidad, entre otros), datos en formatos abiertos ya disponibles en materia de política criminal e información referida a las capacitaciones que brinda la DNPC, así como también toda información que reúne los requisitos de gobierno abierto para su publicidad.",Transparencia,https://www.argentina.gob.ar/justicia/politicacriminal/estadisticas,01/12/2021,Gubernamental,Ejecutivo Nacional,Dirección Nacional de Política Criminal en materia de Justicia y Legislación Penal,Ministerio de Justicia y Derechos Humanos,,,"Sarmiento 329, C1041AAE CABA",HOlaeta@jus.gob.ar,53004000
34,Obras entre todos,"Objetivo: Votar los proyectos de obras para ser financiados con fondos mineros. Participación: la ciudadanía elige proyectos que podrán ser incluidos en el Presupuesto General de Cálculo de Gastos y Recursos del Sector Público Provincial con fondos provenientes de la actividad minera. Pueden votar las personas mayores de dieciocho (18) años que tengan domicilio real en alguno de los departamentos donde se realizarían los proyectos de inversión, proyectos de obras de infraestructura y proyectos de desarrollo productivo.",Participación,https://entretodos.catamarca.gob.ar,01/09/2021,Gubernamental,Ejecutivo Provincial,Secretaría de Modernización,Secretaría de Modernización,Catamarca,,"https://www.google.com/maps/place/Secretar%C3%ADa+de+Modernizaci%C3%B3n+del+Estado/@-28.4588448,-65.7629105,15z/data=!4m6!3m5!1s0x942429fef071b12d:0x4b2eb621672609cb!8m2!3d-28.4588448!4d-65.7629105!16s%2Fg%2F11j2f9w1md?entry=ttu",rarganaraz@catamarca.gov.ar,
35,Datos Abiertos de Turismo,El Portal de Datos Abiertos tiene como principal objetivo poner a disposición de usuarios y usuarias toda la información estadística que produce el organismo. Aquí se condensa en diferentes formatos re-utilizables el conjunto de datos provenientes de todas las fuentes de información con las que cuenta el ministerio para el sector turístico.,Datos,https://datos.yvera.gob.ar/,28/12/2020,Gubernamental,Ejecutivo Nacional,Dirección Nacional de Mercados y Estadística,Ministerio de Turismo y Deportes,,,"Suipacha 1111, C1008 CABA",estadistica@turismo.gob.ar,
36,Sistema de Información Turística de la Argentina (SINTA),"El SINTA tiene como principal objetivo concentrar en una única plataforma las diferentes estrategias que lleva adelante la Dirección Nacional de Mercados y Estadística del Ministeiro de Turismo y Deportes para poner a disposición el conjunto de información estadística producida. Allí se puede acceder al Portal de Datos Abiertos, tableros, informes, bases de microdatos, calendario de publicación, recursos metodológicos y hasta una bitácora en donde se informa sobre avances y desarrollos en los que se encuentra trabajando el área.",Transparencia,https://www.yvera.tur.ar/sinta/,07/10/2021,Gubernamental,Ejecutivo Nacional,Dirección Nacional de Mercados y Estadística,Ministerio de Turismo y Deportes,,,"Suipacha 1111, C1008 CABA",estadistica@turismo.gob.ar,
37,Iniciativa para la Transparencia de las Industrias Extractivas (EITI),"EITI es una iniciativa internacional para mejorar la transparencia y la rendición decuentas de las industrias extractivas a través de la publicación, verificación completay divulgación de información sobre asuntos clave en la gestión de los recursoshidrocarburíferos y mineros.",Transparencia,https://www.argentina.gob.ar/produccion/eiti,27/02/2019,Gubernamental,Ejecutivo Nacional,Unidad Gabinete de Asesores,Ministerio de Desarrollo Productivo,,,"Av. Presidente Julio A. Roca 651, C1057 CABA",dnmejoradelagestion@produccion.gob.ar,
38,Mesa Nacional sobre Minería Abierta a la Comunidad (MEMAC),"La MEMAC es un espacio de diálogo abierto, plural y federal sobre la actividad minera con el objetivo de generar encuentros transdisciplinarios para debatir sobre los diferentes aspectos vinculados a la actividad y potenciar una minería que cuida el ambiente, genera puestos de trabajo y mejora las comunidades donde se inserta.",Participación,https://www.argentina.gob.ar/produccion/memac,02/05/2022,Gubernamental,Ejecutivo Nacional,Unidad Gabinete de Asesores,Ministerio de Desarrollo Productivo,,,"Av. Presidente Julio A. Roca 651, C1057 CABA",dnmejoradelagestion@produccion.gob.ar,
39,Sistema de Información Abierta a la Comunidad sobre la Actividad Minera en Argentina (SIACAM),"El SIACAM es una plataforma con información periódica sobre los aspectos económicos, geológicos, geográficos, sociales, sanitarios y ambientales de la minería en Argentina cuyo objetivo es generar datos de la actividad y ponerla a disposición de la sociedad para un mejor conocimiento de sus implicancias.",Transparencia,https://www.argentina.gob.ar/produccion/mineria/siacam,02/05/2022,Gubernamental,Ejecutivo Nacional,Unidad Gabinete de Asesores,Ministerio de Desarrollo Productivo,,,"Av. Presidente Julio A. Roca 651, C1057 CABA",dnmejoradelagestion@produccion.gob.ar,
40,CO- GOB - Gestión colaborativa de los saberes en Gobierno,,Participación,,,Gubernamental,Ejecutivo Provincial,,"Ministerio de Niñez, Adolescencia, Juventud y Ciudadanía",Neuquén,,"Entre Ríos 303, Q8300 Neuquén",nqnlab@gmail.com,
